,0,1,2,3,4,5,6,7,8,9,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
22,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
43,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
48,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
61,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
74,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
96,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
99,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
105,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
108,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
119,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
126,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
130,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
131,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
134,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
135,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
137,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
139,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
141,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
146,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
157,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
162,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
164,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
170,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
172,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
175,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
176,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
181,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
184,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
189,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
192,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
198,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
203,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
208,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
209,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
210,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
211,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
214,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
219,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
221,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
226,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
228,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
229,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
230,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
235,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
236,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
241,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
244,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
245,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
246,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
250,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
253,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
254,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
257,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
262,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
263,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
264,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
270,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
272,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
274,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
278,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
281,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
283,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
285,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
292,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
294,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
295,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
296,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
297,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
298,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
299,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
306,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
307,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
310,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
311,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
312,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
313,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
317,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
324,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
325,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
327,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
328,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
329,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
330,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
331,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
337,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
342,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
344,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
347,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
350,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
355,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
359,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
360,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
361,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
365,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
367,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
369,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
374,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
377,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
378,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
379,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
381,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
384,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
385,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
386,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
387,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
391,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
392,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
395,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
397,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
399,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
401,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
402,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
403,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
405,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
409,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
411,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
416,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
417,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
423,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
427,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
428,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
429,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
430,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
431,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
432,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
435,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
436,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
437,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
439,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
445,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
446,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
447,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
449,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
454,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
455,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
457,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
458,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
